startNode,endNode
zELEV00L02,zELEV00L03
zELEV00L03,zELEV00L02
zELEV00M02,zELEV00M03
zELEV00M03,zELEV00M02
zSTAI00202,zSTAI00103
zSTAI00103,zSTAI00202
zSTAI00103,zHALL00503
zHALL00503,zSTAI00103
zHALL00503,zELEV00M03
zELEV00M03,zHALL00503
zHALL00503,zHALL00403
zHALL00403,zHALL00503
zHALL00403,zHALL00303
zHALL00303,zHALL00403
zHALL00303,zHALL00203
zHALL00203,zHALL00303
zHALL00203,zLABS00103
zLABS00103,zHALL00203
zHALL00303,zHALL00103
zHALL00103,zHALL00303
zELEV00L03,zHALL00603
zHALL00603,zELEV00L03
zHALL00603,zHALL00703
zHALL00703,zHALL00603
zHALL00603,zHALL01503
zHALL01503,zHALL00603
zHALL00703,zDEPT00103
zDEPT00103,zHALL00703
zHALL00703,zHALL00803
zHALL00803,zHALL00703
zHALL00803,zSERV00103
zSERV00103,zHALL00803
zHALL00803,zHALL00903
zHALL00903,zHALL00803
zHALL00903,zHALL01003
zHALL01003,zHALL00903
zHALL00903,zHALL01103
zHALL01103,zHALL00903
zHALL01003,zBATH00103
zBATH00103,zHALL01003
zHALL01103,zSTOR00303
zSTOR00303,zHALL01103
zHALL01103,zDEPT00203
zDEPT00203,zHALL01103
zHALL01103,zHALL01203
zHALL01203,zHALL01103
zHALL01203,zDIRT00103
zDIRT00103,zHALL01203
zDIRT00103,zHALL01303
zHALL01303,zDIRT00103
zHALL01303,zSTOR00403
zSTOR00403,zHALL01303
zSTOR00403,zHALL01403
zHALL01403,zSTOR00403
zHALL01403,zHALL01503
zHALL01503,zHALL01403
zHALL01503,zBATH00203
zBATH00203,zHALL01503
zHALL01203,zSTOR00203
zSTOR00203,zHALL01203
zHALL01203,zPATI01003
zPATI01003,zHALL01203
zHALL01203,zPATI00103
zPATI00103,zHALL01203
zPATI00103,zPATI00203
zPATI00203,zPATI00103
zPATI00203,zPATI00303
zPATI00303,zPATI00203
zPATI00303,zPATI00403
zPATI00403,zPATI00303
zPATI00403,zPATI00503
zPATI00503,zPATI00403
zPATI00503,zPATI00603
zPATI00603,zPATI00503
zPATI00603,zPATI00703
zPATI00703,zPATI00603
zPATI00703,zPATI00803
zPATI00803,zPATI00703
zPATI00803,zPATI00903
zPATI00903,zPATI00803
zPATI00903,zPATI01003
zPATI01003,zPATI00903
zHALL01303,zSTOR00103
zSTOR00103,zHALL01303
zHALL01303,zPATI01103
zPATI01103,zHALL01303
zHALL01303,zPATI02003
zPATI02003,zHALL01303
zPATI01103,zPATI01203
zPATI01203,zPATI01103
zPATI01203,zPATI01303
zPATI01303,zPATI01203
zPATI01303,zPATI01403
zPATI01403,zPATI01303
zPATI01403,zPATI01503
zPATI01503,zPATI01403
zPATI01503,zPATI01603
zPATI01603,zPATI01503
zPATI01603,zPATI01703
zPATI01703,zPATI01603
zPATI01703,zPATI01803
zPATI01803,zPATI01703
zPATI01803,zPATI01903
zPATI01903,zPATI01803
zPATI01903,zPATI02003
zPATI02003,zPATI01903
